t, velocity, position
0.0, 0.0, 0.4281
0.1, 0.012, 0.4269
0.2, 0.024, 0.42329999999999995
0.30000000000000004, 0.036000000000000004, 0.4173
0.4, 0.048, 0.4089
0.5, 0.06, 0.3981
0.6000000000000001, 0.06, 0.3921
0.7000000000000001, 0.06, 0.3861
0.8, 0.06, 0.3801
0.9, 0.06, 0.3741
1.0, 0.06, 0.3681
1.1, 0.06, 0.3621
1.2000000000000002, 0.06, 0.35609999999999997
1.3, 0.06, 0.35009999999999997
1.4000000000000001, 0.06, 0.34409999999999996
1.5, 0.06, 0.33809999999999996
1.6, 0.06, 0.33209999999999995
1.7000000000000002, 0.06, 0.32609999999999995
1.8, 0.06, 0.3201
1.9000000000000001, 0.06, 0.3141
2.0, 0.06, 0.3081
2.1, 0.06, 0.3021
2.2, 0.06, 0.2961
2.3000000000000003, 0.06, 0.29009999999999997
2.4000000000000004, 0.06, 0.28409999999999996
2.5, 0.06, 0.2781
2.6, 0.06, 0.2721
2.7, 0.06, 0.2661
2.8000000000000003, 0.06, 0.2601
2.9000000000000004, 0.06, 0.2541
3.0, 0.06, 0.2481
3.1, 0.06, 0.24209999999999998
3.2, 0.06, 0.23609999999999998
3.3000000000000003, 0.06, 0.23009999999999997
3.4000000000000004, 0.06, 0.22409999999999997
3.5, 0.06, 0.2181
3.6, 0.06, 0.21209999999999998
3.7, 0.06, 0.20609999999999998
3.8000000000000003, 0.06, 0.20009999999999997
3.9000000000000004, 0.06, 0.19409999999999997
4.0, 0.06, 0.1881
4.1000000000000005, 0.06, 0.18209999999999996
4.2, 0.06, 0.17609999999999998
4.3, 0.06, 0.17009999999999997
4.4, 0.06, 0.16409999999999997
4.5, 0.06, 0.15809999999999996
4.6000000000000005, 0.06, 0.15209999999999996
4.7, 0.06, 0.14609999999999995
4.800000000000001, 0.06, 0.14009999999999995
4.9, 0.06, 0.13409999999999994
5.0, 0.06, 0.12809999999999994
5.1000000000000005, 0.04799999999999993, 0.12269999999999992
5.2, 0.035999999999999976, 0.11849999999999994
5.300000000000001, 0.023999999999999917, 0.11549999999999994
5.4, 0.011999999999999955, 0.11369999999999991
5.5, 0.0, 0.11309999999999992
