t, velocity, position
0.0, 0.0, 0.4281
0.1, 0.012, 0.4269
0.2, 0.024, 0.42329999999999995
0.30000000000000004, 0.036000000000000004, 0.4173
0.4, 0.048, 0.4089
0.5, 0.06, 0.3981
0.6000000000000001, 0.06, 0.3621
0.7000000000000001, 0.06, 0.35609999999999997
0.8, 0.06, 0.35009999999999997
0.9, 0.06, 0.34409999999999996
1.0, 0.06, 0.33809999999999996
1.1, 0.06, 0.33209999999999995
1.2000000000000002, 0.06, 0.32609999999999995
1.3, 0.06, 0.3201
1.4000000000000001, 0.06, 0.3141
1.5, 0.06, 0.3081
1.6, 0.06, 0.3021
1.7000000000000002, 0.06, 0.2961
1.8, 0.06, 0.29009999999999997
1.9000000000000001, 0.06, 0.28409999999999996
2.0, 0.06, 0.2781
2.1, 0.06, 0.2721
2.2, 0.06, 0.2661
2.3000000000000003, 0.06, 0.2601
2.4000000000000004, 0.06, 0.2541
2.5, 0.06, 0.2481
2.6, 0.06, 0.24209999999999998
2.7, 0.06, 0.23609999999999998
2.8000000000000003, 0.06, 0.23009999999999997
2.9000000000000004, 0.06, 0.22409999999999997
3.0, 0.06, 0.2181
3.1, 0.06, 0.21209999999999998
3.2, 0.06, 0.20609999999999998
3.3000000000000003, 0.06, 0.20009999999999997
3.4000000000000004, 0.06, 0.19409999999999997
3.5, 0.06, 0.1881
3.6, 0.06, 0.18209999999999998
3.7, 0.06, 0.17609999999999998
3.8000000000000003, 0.06, 0.17009999999999997
3.9000000000000004, 0.06, 0.16409999999999997
4.0, 0.06, 0.15809999999999996
4.1000000000000005, 0.06, 0.15209999999999996
4.2, 0.06, 0.14609999999999995
4.3, 0.06, 0.14009999999999995
4.4, 0.06, 0.13409999999999994
4.5, 0.06, 0.12809999999999994
4.6000000000000005, 0.06, 0.12209999999999993
4.7, 0.06, 0.11610000000000004
4.800000000000001, 0.06, 0.11009999999999992
4.9, 0.06, 0.10410000000000003
5.0, 0.06, 0.09810000000000002
5.1000000000000005, 0.04799999999999993, 0.0927
5.2, 0.035999999999999976, 0.08850000000000002
5.300000000000001, 0.023999999999999917, 0.08550000000000002
5.4, 0.011999999999999955, 0.0837
5.5, 0.0, 0.08310000000000001
