t, omega, theta, x, y
0.0, 0.0, -90.0, 0.005470000000000004, -0.024580000000000005
0.01, 7.2, -89.964, 0.0055108407018094555, -0.024579987169514705
0.02, 14.4, -89.856, 0.005633362646005253, -0.024579794712336525
0.03, 21.599999999999998, -89.676, 0.005837564381496576, -0.024578960733425997
0.04, 28.8, -89.424, 0.006123440265187482, -0.024576715423318365
0.05, 36.0, -89.1, 0.006490975625268357, -0.02457198111130794
0.06, 43.199999999999996, -88.704, 0.006940139990587445, -0.024563372399469055
0.07, 50.400000000000006, -88.236, 0.007470878387674562, -0.02454919643706345
0.08, 57.6, -87.696, 0.008083100708591962, -0.024527453411867947
0.09, 64.8, -87.084, 0.008776669155256864, -0.024495837351894895
0.1, 72.0, -86.4, 0.009551383769405366, -0.024451737347837663
0.11, 72.0, -85.68, 0.010366242359315615, -0.024395328516939915
0.12, 72.0, -84.96000000000001, 0.011180327775798301, -0.02432868459430622
0.13, 72.0, -84.24, 0.011993511465328968, -0.024251816103784518
0.14, 72.0, -83.52, 0.012805665016776317, -0.02416473518380055
0.15, 72.0, -82.8, 0.013616660181679778, -0.024067455585441072
0.16, 72.0, -82.08, 0.014426368894501482, -0.02395999267028233
0.17, 72.0, -81.36, 0.01523466329284921, -0.023842363407964418
0.18, 72.0, -80.64, 0.01604141573766744, -0.023714586373511426
0.19, 72.0, -79.92, 0.016846498833392943, -0.02357668174439835
0.2, 72.0, -79.2, 0.017649785448072094, -0.02342867129736477
0.21, 72.0, -78.48, 0.018451148733436454, -0.023270578404976053
0.22, 72.0, -77.76, 0.019250462144933544, -0.023102428031932576
0.23, 72.0, -77.04, 0.020047599461709777, -0.022924246731127515
0.24, 72.0, -76.32000000000001, 0.020842434806542097, -0.02273606263945381
0.25, 72.0, -75.6, 0.02163484266571557, -0.022537905473361028
0.26, 72.0, -74.88, 0.022424697908843303, -0.022329806524162804
0.27, 72.0, -74.16, 0.02321187580862615, -0.02211179865309558
0.28, 72.0, -73.44, 0.02399625206054845, -0.021883916286129436
0.29, 72.0, -72.72, 0.024777702802507268, -0.0216461954085318
0.3, 72.0, -72.0, 0.025556104634371583, -0.021398673559184983
0.31, 72.0, -71.28, 0.026331334637468614, -0.021141389824658387
0.32, 72.0, -70.56, 0.027103270393994135, -0.02087438483303619
0.33, 72.0, -69.84, 0.027871790006343607, -0.02059770074750182
0.34, 72.0, -69.12, 0.0286367721163613, -0.020311381259679788
0.35000000000000003, 72.0, -68.4, 0.029398095924504063, -0.020015471582736352
0.36, 72.0, -67.68, 0.030155641208917058, -0.019710018444239787
0.37, 72.0, -66.96, 0.030909288344418164, -0.019395070078781572
0.38, 72.0, -66.24, 0.03165891832138808, -0.019070676220359642
0.39, 72.0, -65.52, 0.032404412764563476, -0.01873688809452472
0.4, 72.0, -64.8, 0.03314565395172973, -0.018393758410291276
0.41000000000000003, 72.0, -64.08, 0.03388252483231065, -0.018041341351814115
0.42, 72.0, -63.36, 0.0346149090458521, -0.01767969256983215
0.43, 72.0, -62.64, 0.035342690940396715, -0.017308869172880395
0.44, 72.0, -61.92, 0.036065755590746616, -0.016928929718271965
0.45, 72.0, -61.2, 0.03678398881661149, -0.016539934202851145
0.46, 72.0, -60.480000000000004, 0.03749727720063895, -0.016141944053519174
0.47000000000000003, 72.0, -59.76, 0.03820550810632446, -0.015735022117534296
0.48, 72.0, -59.04, 0.03890856969579792, -0.015319232652587403
0.49, 72.0, -58.31999999999999, 0.03960635094748423, -0.014894641316654973
0.5, 72.0, -57.6, 0.04029874167363478, -0.014461315157630987
0.51, 72.0, -56.879999999999995, 0.040985632537727495, -0.014019322602739213
0.52, 72.0, -56.16, 0.04166691507173223, -0.01356873344772782
0.53, 72.0, -55.44, 0.042342481693239176, -0.013109618845847791
0.54, 72.0, -54.72, 0.0430122257224474, -0.012642051296616962
0.55, 72.0, -53.99999999999999, 0.04367604139901077, -0.01216610463437158
0.56, 72.0, -53.279999999999994, 0.044333823898738745, -0.011681854016606978
0.5700000000000001, 72.0, -52.559999999999995, 0.04498546935014936, -0.0111893759121093
0.58, 72.0, -51.839999999999996, 0.04563087485087174, -0.010688748088880227
0.59, 72.0, -51.12, 0.04626993848389553, -0.010180049601856526
0.6, 72.0, -50.4, 0.046902559333664835, -0.009663360780426303
0.61, 72.0, -49.68, 0.04752863750201389, -0.009138763215744118
0.62, 72.0, -48.96, 0.04814807412394217, -0.008606339747846747
0.63, 72.0, -48.239999999999995, 0.04876077138322636, -0.008066174452571843
0.64, 72.0, -47.519999999999996, 0.0493666325278666, -0.007518352628281301
0.65, 72.0, -46.8, 0.04996556188536477, -0.006962960782391746
0.66, 72.0, -46.07999999999999, 0.05055746487783234, -0.006400086617713942
0.67, 72.0, -45.35999999999999, 0.05114224803692521, -0.005829819018603542
0.68, 72.0, -44.63999999999999, 0.05171981901860355, -0.0052522480369252
0.6900000000000001, 72.0, -43.919999999999995, 0.052290086617713956, -0.004667464877832324
0.7000000000000001, 72.0, -43.199999999999996, 0.05285296078239175, -0.004075561885364766
0.71, 72.0, -42.48, 0.05340835262828131, -0.003476632527866584
0.72, 72.0, -41.76, 0.05395617445257185, -0.0028707713832263546
0.73, 72.0, -41.04, 0.054496339747846755, -0.002258074123942168
0.74, 72.0, -40.32, 0.05502876321574412, -0.0016386375020138802
0.75, 72.0, -39.599999999999994, 0.05555336078042631, -0.001012559333664828
0.76, 72.0, -38.879999999999995, 0.05607004960185653, -0.0003799384838955311
0.77, 72.0, -38.16, 0.056578748088880235, 0.00025912514912826423
0.78, 72.0, -37.44, 0.057079375912109306, 0.0009045306498506461
0.79, 72.0, -36.71999999999999, 0.057571854016606985, 0.0015561761012612765
0.8, 72.0, -35.99999999999999, 0.05805610463437159, 0.0022139586009892465
0.81, 72.0, -35.279999999999994, 0.05853205129661697, 0.0028777742775526055
0.8200000000000001, 72.0, -34.559999999999995, 0.05899961884584779, 0.0035475183067608315
0.8300000000000001, 72.0, -33.83999999999999, 0.059458733447727834, 0.004223084928267784
