t, omega, theta, x, y
0.0, 0.0, -90.0, 0.167, -0.0040000000000000036
0.1, 72.0, -86.4, 0.17108138376940538, -0.0038717373478376615
0.2, 72.0, -79.2, 0.17917978544807212, -0.0028486712973647688
0.30000000000000004, 72.0, -72.0, 0.18708610463437159, -0.000818673559184982
0.4, 72.0, -64.8, 0.19467565395172973, 0.002186241589708725
0.5, 72.0, -57.6, 0.2018287416736348, 0.006118684842369014
0.6000000000000001, 72.0, -50.39999999999999, 0.20843255933366484, 0.010916639219573705
0.7000000000000001, 72.0, -43.199999999999996, 0.21438296078239177, 0.016504438114635235
0.8, 72.0, -35.99999999999999, 0.2195861046343716, 0.022793958600989248
0.9, 72.0, -28.799999999999997, 0.22395993420285115, 0.02968601118338851
1.0, 72.0, -21.60000000000001, 0.22743547158273636, 0.03707190407549592
1.1, 72.0, -14.400000000000006, 0.22995790547336104, 0.044835157334284434
1.2000000000000002, 72.0, -7.200000000000003, 0.2314874555854411, 0.052853339818320216
1.3, 72.0, -1.4210854715202004e-14, 0.232, 0.060999999999999985
1.4000000000000001, 72.0, 7.200000000000003, 0.2314874555854411, 0.06914666018167978
1.5, 72.0, 14.399999999999991, 0.22995790547336104, 0.07716484266571555
1.6, 72.0, 21.599999999999994, 0.22743547158273636, 0.08492809592450407
1.7000000000000002, 72.0, 28.799999999999997, 0.22395993420285115, 0.09231398881661149
1.8, 72.0, 35.999999999999986, 0.21958610463437161, 0.09920604139901074
1.9000000000000001, 72.0, 43.19999999999999, 0.21438296078239177, 0.10549556188536476
2.0, 72.0, 50.39999999999998, 0.20843255933366486, 0.11108336078042627
2.1, 72.0, 57.599999999999994, 0.2018287416736348, 0.11588131515763098
2.2, 72.0, 64.80000000000001, 0.19467565395172973, 0.11981375841029127
2.3000000000000003, 72.0, 72.0, 0.18708610463437159, 0.12281867355918498
2.4000000000000004, 72.0, 79.20000000000002, 0.1791797854480721, 0.12484867129736477
2.5, 72.0, 86.39999999999998, 0.1710813837694054, 0.12587173734783766
2.6, 72.0, 93.6, 0.16291861623059464, 0.12587173734783766
2.7, 72.0, 100.80000000000001, 0.1548202145519279, 0.12484867129736477
2.8000000000000003, 72.0, 108.0, 0.14691389536562843, 0.122818673559185
2.9000000000000004, 72.0, 115.20000000000002, 0.1393243460482703, 0.11981375841029127
3.0, 72.0, 122.39999999999998, 0.13217125832636525, 0.115881315157631
3.1, 72.0, 129.6, 0.12556744066633518, 0.1110833607804263
3.2, 72.0, 136.8, 0.11961703921760825, 0.10549556188536476
3.3000000000000003, 72.0, 144.0, 0.11441389536562843, 0.09920604139901076
3.4000000000000004, 72.0, 151.20000000000002, 0.11004006579714887, 0.09231398881661149
3.5, 72.0, 158.39999999999998, 0.10656452841726369, 0.08492809592450411
3.6, 72.0, 165.6, 0.10404209452663898, 0.07716484266571556
3.7, 72.0, 172.8, 0.10251254441455894, 0.06914666018167977
3.8000000000000003, 72.0, 180.00000000000006, 0.10200000000000001, 0.06099999999999995
3.9000000000000004, 72.0, 187.20000000000005, 0.10251254441455895, 0.05285333981832016
4.0, 72.0, 194.40000000000003, 0.104042094526639, 0.04483515733428439
4.1000000000000005, 72.0, 201.60000000000008, 0.1065645284172637, 0.037071904075495855
4.2, 72.0, 208.80000000000007, 0.1100400657971489, 0.02968601118338845
4.3, 72.0, 216.00000000000006, 0.11441389536562846, 0.022793958600989206
4.4, 72.0, 223.20000000000005, 0.1196170392176083, 0.016504438114635193
4.5, 72.0, 230.40000000000003, 0.12556744066633518, 0.010916639219573691
4.6000000000000005, 72.0, 237.60000000000008, 0.13217125832636528, 0.006118684842368972
4.7, 72.0, 244.80000000000007, 0.13932434604827038, 0.00218624158970869
4.800000000000001, 72.0, 252.0000000000001, 0.14691389536562852, -0.0008186735591850167
4.9, 72.0, 259.20000000000005, 0.15482021455192796, -0.0028486712973647826
5.0, 72.0, 266.40000000000003, 0.16291861623059464, -0.0038717373478376615
5.1000000000000005, -3.836930773104541e-13, 270.00000000000006, 0.16700000000000007, -0.0040000000000000036
